Fecha,arima_Pronostico,arima_li,arima_ls,sarimax_Pronostico,sarimax_li,sarimax_ls,Aeropuerto
2026-03-01,73.3015323340221,54.91398189699428,91.68908277104993,73.79057268850104,57.465562721560104,90.11558265544198,Aeropuerto C. Arturo Merino Benítez
2026-04-01,73.00522272772807,48.84486356736447,97.16558188809167,57.85846737349744,36.42406718360533,79.29286756338955,Aeropuerto C. Arturo Merino Benítez
2026-05-01,72.75266855274967,45.1454379045813,100,59.907188421236114,35.430785631323275,84.38359121114895,Aeropuerto C. Arturo Merino Benítez
2026-06-01,72.53740853436292,42.67459321601356,100,59.86472078468683,33.40358086199216,86.32586070738151,Aeropuerto C. Arturo Merino Benítez
2026-07-01,72.35393552101907,40.95395167489963,100,71.58303871119286,43.773506699692206,99.3925707226935,Aeropuerto C. Arturo Merino Benítez
2026-08-01,72.19755559093379,39.72646745964798,100,69.59985600138778,40.85384763112003,98.34586437165552,Aeropuerto C. Arturo Merino Benítez
2026-03-01,74.64314779256767,36.63974137572006,100,86.68716869598646,49.839760806787545,100,Aeropuerto Diego Aracena
2026-04-01,72.1159352686223,29.92753341072372,100,88.52315361061824,49.03416218268061,100,Aeropuerto Diego Aracena
2026-05-01,72.02338710135925,27.061688237109117,100,80.87297486873082,39.077752799898235,100,Aeropuerto Diego Aracena
2026-06-01,71.53218734620643,25.30754758222374,100,86.39890046255636,42.84209684691587,100,Aeropuerto Diego Aracena
2026-07-01,71.27905134630201,24.380775733305114,100,90.49503260064708,45.75397450978671,100,Aeropuerto Diego Aracena
2026-08-01,71.070227161694,23.825104043338065,100,82.25762827340795,36.82916645527705,100,Aeropuerto Diego Aracena
2020-04-01,70.23176857262132,33.66149433088979,100,NA,NA,NA,Aeropuerto Isla de Pascua
2020-05-01,66.32285537420265,29.679503442685153,100,NA,NA,NA,Aeropuerto Isla de Pascua
2020-06-01,65.34375070802551,28.347097249129305,100,NA,NA,NA,Aeropuerto Isla de Pascua
2020-07-01,67.17680555223912,29.745914401989424,100,NA,NA,NA,Aeropuerto Isla de Pascua
2020-08-01,70.74775375469818,33.08116641739809,100,NA,NA,NA,Aeropuerto Isla de Pascua
2020-09-01,74.54740859115947,36.85091521899807,100,NA,NA,NA,Aeropuerto Isla de Pascua
2026-03-01,74.03918752952522,28.016746819539932,100,76.03072632444247,34.58459070352602,100,Aeropuerto Punta Arenas
2026-04-01,67.05370530408766,18.359709519486238,100,64.36372304543353,22.91758742451708,100,Aeropuerto Punta Arenas
2026-05-01,64.6392371255039,15.635815495201243,100,58.0081084581805,16.56197283726405,99.45424407909695,Aeropuerto Punta Arenas
2026-06-01,63.80469823509417,14.764440791879757,100,26.01622618409925,0,67.4623618050157,Aeropuerto Punta Arenas
2026-07-01,63.51624748399965,14.471591204163978,100,41.617206253779806,0.1710706328633549,83.06334187469625,Aeropuerto Punta Arenas
2026-08-01,63.41654711441455,14.371365342447895,100,65.78710421507671,24.34096859416026,100,Aeropuerto Punta Arenas
2023-07-01,45.634292667300016,0,100,NA,NA,NA,Chacalluta - Aeropuerto
2023-08-01,66.77945409661166,6.015413725831408,100,NA,NA,NA,Chacalluta - Aeropuerto
2023-09-01,66.77945409661166,6.015413725831408,100,NA,NA,NA,Chacalluta - Aeropuerto
2023-10-01,66.77945409661166,6.015413725831408,100,NA,NA,NA,Chacalluta - Aeropuerto
2023-11-01,66.77945409661166,6.015413725831408,100,NA,NA,NA,Chacalluta - Aeropuerto
2023-12-01,66.77945409661166,6.015413725831408,100,NA,NA,NA,Chacalluta - Aeropuerto
2026-03-01,85.85337725491951,45.69223246532081,100,81.88501970187997,40.08691867599324,100,Aeropuerto Cerro Moreno
2026-04-01,81.31353266914468,37.49080076026267,100,66.43816508227358,21.083446767064977,100,Aeropuerto Cerro Moreno
2026-05-01,79.33124104174466,34.844595497664024,100,66.31419528688659,20.359807385186777,100,Aeropuerto Cerro Moreno
2026-06-01,78.46568716169052,33.85358316574342,100,74.15326661200423,28.092823686217073,100,Aeropuerto Cerro Moreno
2026-07-01,78.0877490677586,33.45176554391688,100,78.63867560010937,32.559439098963935,100,Aeropuerto Cerro Moreno
2026-08-01,77.92272502230463,33.28219014534836,100,75.28664437191951,29.204073820722584,100,Aeropuerto Cerro Moreno
